scope,train_dataset,test_dataset,embedding,clf,subsample_id,matched_gene_count,gene_hash,auroc,auprc
coverage_matched_native,hESC500,mESC500,baseline,mlp,15,848/937,893fb32c2958-9b4c6299ecad,0.5401404436710068,0.3874347035718666
coverage_matched_native,hESC500,mESC500,baseline,lr,16,848/937,893fb32c2958-9b4c6299ecad,0.5680629987824068,0.3890643742891957
coverage_matched_native,hESC500,mESC500,baseline,mlp,16,848/937,893fb32c2958-9b4c6299ecad,0.5410537051546046,0.3984781001397901
coverage_matched_native,hESC500,mESC500,baseline,lr,17,848/937,893fb32c2958-9b4c6299ecad,0.5618819413835374,0.3824164640721054
coverage_matched_native,hESC500,mESC500,baseline,mlp,17,848/937,893fb32c2958-9b4c6299ecad,0.5316944663137328,0.38622958578327393
coverage_matched_native,hESC500,mESC500,baseline,lr,18,848/937,893fb32c2958-9b4c6299ecad,0.5683355467062947,0.387560098598546
coverage_matched_native,hESC500,mESC500,baseline,mlp,18,848/937,893fb32c2958-9b4c6299ecad,0.5465114354429712,0.399279107098037
coverage_matched_native,hESC500,mESC500,baseline,lr,19,848/937,893fb32c2958-9b4c6299ecad,0.5679672541386901,0.39150421671226643
coverage_matched_native,hESC500,mESC500,baseline,mlp,19,848/937,893fb32c2958-9b4c6299ecad,0.5341269869980603,0.39216371231916536
coverage_matched_native,hESC500,mESC500,scGPT_human,lr,0,848/937,893fb32c2958-9b4c6299ecad,0.5396168627604044,0.3737403538211905
coverage_matched_native,hESC500,mESC500,scGPT_human,mlp,0,848/937,893fb32c2958-9b4c6299ecad,0.5259412388351598,0.37557924788369246
coverage_matched_native,hESC500,mESC500,scGPT_human,lr,1,848/937,893fb32c2958-9b4c6299ecad,0.5337921917279193,0.36689075765443463
coverage_matched_native,hESC500,mESC500,scGPT_human,mlp,1,848/937,893fb32c2958-9b4c6299ecad,0.5271195465742857,0.37715228859708433
coverage_matched_native,hESC500,mESC500,scGPT_human,lr,2,848/937,893fb32c2958-9b4c6299ecad,0.5435458456972823,0.37856635674689487
coverage_matched_native,hESC500,mESC500,scGPT_human,mlp,2,848/937,893fb32c2958-9b4c6299ecad,0.5232689884393705,0.3674860891305331
coverage_matched_native,hESC500,mESC500,scGPT_human,lr,3,848/937,893fb32c2958-9b4c6299ecad,0.5477085862052443,0.3748457272055816
coverage_matched_native,hESC500,mESC500,scGPT_human,mlp,3,848/937,893fb32c2958-9b4c6299ecad,0.5333517701747756,0.3779947088005482
coverage_matched_native,hESC500,mESC500,scGPT_human,lr,4,848/937,893fb32c2958-9b4c6299ecad,0.5369752092708435,0.37051856843251585
coverage_matched_native,hESC500,mESC500,scGPT_human,mlp,4,848/937,893fb32c2958-9b4c6299ecad,0.5152097087581978,0.3537393698755327
