dataset,context,embedding,method,setting_group,n_pert_genes,target_dim,pearson_r,pearson_r_std,mse,mse_std,sign_acc,sign_acc_std,n_folds
adamson,dataset::all,v4_bias_rec_best,frozen_backbone_trainable_head,finetune,75,256,0.2245748147368431,0.05899568159132169,1.1886988282203674,0.3962833450178646,0.5915104166666667,0.02475388840807529,5
adamson,dataset::all,v4_plain_best,frozen_linear,frozen_probe,75,256,0.10875053619345029,0.09694959264584573,1.5069998264312745,0.46200364217632717,0.5397916666666667,0.028684349106796122,5
adamson,dataset::all,v4_plain_best,frozen_mlp,frozen_probe,75,256,0.11095304775362214,0.07461690909756732,1.3745156168937682,0.5251745739728617,0.5405729166666667,0.032195084057973826,5
adamson,dataset::all,v4_plain_best,frozen_backbone_trainable_head,finetune,75,256,0.13653287599484126,0.10054690866343151,1.2116564631462097,0.4990983163160688,0.5584374999999999,0.0306600564660276,5
adamson,dataset::all,v4_type_pe_best,frozen_linear,frozen_probe,75,256,0.11810839629421632,0.08232878405569238,1.4307180643081665,0.4604402546180318,0.5522395833333335,0.031073110472632844,5
adamson,dataset::all,v4_type_pe_best,frozen_mlp,frozen_probe,75,256,0.13211250849068162,0.056693590085598246,1.3433172225952148,0.5156664099917787,0.5611458333333333,0.0241940398135574,5
adamson,dataset::all,v4_type_pe_best,frozen_backbone_trainable_head,finetune,75,256,0.1710550183306138,0.0677751443123114,1.1706317901611327,0.44275555576326314,0.5739583333333333,0.02481430601459795,5
dixit,dataset::all,minus,frozen_linear,frozen_probe,19,256,0.3690509388321324,0.8947068783193992,0.9051917700194999,1.0149659172544963,0.6870888157894737,0.45977547608707625,19
dixit,dataset::all,baseline,frozen_linear,frozen_probe,19,256,0.4898338278657512,0.802450961174774,0.9618541904185948,1.1554789197204176,0.7514391447368421,0.41148498456689986,19
dixit,dataset::all,scGPT_human,frozen_linear,frozen_probe,19,256,0.3573975500307585,0.9124543692207138,0.9146131551579425,0.8807307940413059,0.6840049342105263,0.4646906445960343,19
dixit,dataset::all,v4_bias_rec_best,frozen_linear,frozen_probe,19,256,0.670523138618783,0.5911889295312224,0.6748136374119081,0.9015089861086083,0.8507401315789473,0.30242703506652213,19
dixit,dataset::all,v4_plain_best,frozen_linear,frozen_probe,19,256,0.46737089282587957,0.8014561845188937,0.9338846461553323,1.0251180010228755,0.7403371710526315,0.4135023062023693,19
dixit,dataset::all,v4_type_pe_best,frozen_linear,frozen_probe,19,256,0.35843590999904434,0.9009500682436341,1.0788222821919542,1.1497118419472234,0.6854440789473685,0.462164833611464,19
norman,dataset::all,minus,frozen_linear,frozen_probe,100,256,0.046379266101866955,0.039396364022719406,1.780828094482422,0.32672395975951635,0.5194531249999998,0.020729125772049297,5
norman,dataset::all,minus,frozen_mlp,frozen_probe,100,256,0.008205474885180591,0.03932080877736863,1.5435288190841674,0.4291778827347415,0.50265625,0.020287168700121438,5
norman,dataset::all,minus,frozen_backbone_trainable_head,finetune,100,256,0.03136914821341634,0.04305043538510614,1.318994975090027,0.3882559600138463,0.513671875,0.018738603307243848,5
