dataset,context,embedding,method,fold_id,pearson_r,mse,sign_acc,n_train,n_test
dixit,dataset::all,scGPT_human,frozen_linear,15,0.9735465049743652,0.12244445830583572,1.0,18,1
dixit,dataset::all,scGPT_human,frozen_linear,16,0.9823939800262451,0.18162158131599426,1.0,18,1
dixit,dataset::all,scGPT_human,frozen_linear,17,-0.9819855690002441,2.7716593742370605,0.0,18,1
dixit,dataset::all,scGPT_human,frozen_linear,18,0.9852268695831299,0.08489817380905151,1.0,18,1
norman,dataset::all,minus,frozen_linear,0,0.02187691107392311,1.6971700191497803,0.5224609375,80,20
norman,dataset::all,minus,frozen_linear,1,0.11219845712184906,2.4211630821228027,0.548046875,80,20
norman,dataset::all,minus,frozen_linear,2,0.06486287554726004,1.6896263360977173,0.53359375,80,20
norman,dataset::all,minus,frozen_linear,3,0.03516253512352705,1.5537402629852295,0.502734375,80,20
norman,dataset::all,minus,frozen_linear,4,-0.0022044483572244643,1.5424407720565796,0.4904296875,80,20
norman,dataset::all,minus,frozen_mlp,0,-0.04902362348511815,1.4889103174209595,0.4794921875,80,20
norman,dataset::all,minus,frozen_mlp,1,0.040642300993204115,2.3369171619415283,0.5203125,80,20
norman,dataset::all,minus,frozen_mlp,2,-0.0058889415115118025,1.552917242050171,0.509375,80,20
norman,dataset::all,minus,frozen_mlp,3,-0.007340984838083387,1.234877109527588,0.4779296875,80,20
norman,dataset::all,minus,frozen_mlp,4,0.06263862326741218,1.1040222644805908,0.526171875,80,20
norman,dataset::all,minus,frozen_backbone_trainable_head,0,-0.016828284319490194,1.182958960533142,0.49765625,80,20
norman,dataset::all,minus,frozen_backbone_trainable_head,1,0.08517814641818404,2.066701889038086,0.537890625,80,20
norman,dataset::all,minus,frozen_backbone_trainable_head,2,0.09110295251011849,1.1875056028366089,0.5416015625,80,20
norman,dataset::all,minus,frozen_backbone_trainable_head,3,0.011944537027738988,1.061419129371643,0.4966796875,80,20
norman,dataset::all,minus,frozen_backbone_trainable_head,4,-0.022128257155418395,1.0533115863800049,0.4890625,80,20
norman,dataset::all,baseline,frozen_linear,0,0.00864604078233242,1.6935720443725586,0.4916015625,80,20
norman,dataset::all,baseline,frozen_linear,1,0.14980095364153384,2.2310357093811035,0.5546875,80,20
norman,dataset::all,baseline,frozen_linear,2,0.0976185092702508,1.625383734703064,0.5396484375,80,20
norman,dataset::all,baseline,frozen_linear,3,0.01967950351536274,1.3013484477996826,0.50546875,80,20
norman,dataset::all,baseline,frozen_linear,4,0.21881127431988717,1.1418319940567017,0.584375,80,20
norman,dataset::all,baseline,frozen_mlp,0,0.05688696233555675,1.4293394088745117,0.5140625,80,20
norman,dataset::all,baseline,frozen_mlp,1,0.0942553433123976,2.1280112266540527,0.53671875,80,20
norman,dataset::all,baseline,frozen_mlp,2,0.10370236271992325,1.4418394565582275,0.5435546875,80,20
norman,dataset::all,baseline,frozen_mlp,3,0.04339728411287069,1.1497552394866943,0.5162109375,80,20
norman,dataset::all,baseline,frozen_mlp,4,0.18221311867237092,1.0056349039077759,0.5783203125,80,20
norman,dataset::all,baseline,frozen_backbone_trainable_head,0,0.02149158213287592,1.214188575744629,0.48984375,80,20
norman,dataset::all,baseline,frozen_backbone_trainable_head,1,0.1899561895057559,1.9013563394546509,0.5634765625,80,20
norman,dataset::all,baseline,frozen_backbone_trainable_head,2,0.14335803193971514,1.1787160634994507,0.5556640625,80,20
norman,dataset::all,baseline,frozen_backbone_trainable_head,3,0.011043753661215305,0.928554892539978,0.50234375,80,20
norman,dataset::all,baseline,frozen_backbone_trainable_head,4,0.2488833830691874,0.8032657504081726,0.605859375,80,20
norman,dataset::all,scGPT_human,frozen_linear,0,0.08847338389605283,1.2188829183578491,0.546875,80,20
norman,dataset::all,scGPT_human,frozen_linear,1,0.02715045679360628,2.123565196990967,0.51015625,80,20
norman,dataset::all,scGPT_human,frozen_linear,2,0.1254344407469034,1.2400386333465576,0.5474609375,80,20
norman,dataset::all,scGPT_human,frozen_linear,3,0.04193709497340024,0.9451522827148438,0.516796875,80,20
norman,dataset::all,scGPT_human,frozen_linear,4,0.20456361919641494,0.7962899804115295,0.5736328125,80,20
norman,dataset::all,scGPT_human,frozen_mlp,0,0.057902198005467656,1.4222675561904907,0.5197265625,80,20
norman,dataset::all,scGPT_human,frozen_mlp,1,0.019235263206064702,2.3120803833007812,0.513671875,80,20
norman,dataset::all,scGPT_human,frozen_mlp,2,0.07056675404310227,1.37249755859375,0.534765625,80,20
norman,dataset::all,scGPT_human,frozen_mlp,3,-0.038729578629136084,1.1338846683502197,0.4796875,80,20
norman,dataset::all,scGPT_human,frozen_mlp,4,0.1565832476131618,0.9392904043197632,0.5638671875,80,20
norman,dataset::all,scGPT_human,frozen_backbone_trainable_head,0,0.05923414067365229,1.0748180150985718,0.516796875,80,20
norman,dataset::all,scGPT_human,frozen_backbone_trainable_head,1,0.010142924450337886,2.025789976119995,0.49453125,80,20
norman,dataset::all,scGPT_human,frozen_backbone_trainable_head,2,0.11808601734228433,1.1709821224212646,0.5443359375,80,20
norman,dataset::all,scGPT_human,frozen_backbone_trainable_head,3,0.040140182431787255,0.8727266192436218,0.5193359375,80,20
norman,dataset::all,scGPT_human,frozen_backbone_trainable_head,4,0.13320778054185212,0.7640816569328308,0.546875,80,20
