train_dataset,test_dataset,protocol,embedding,clf,seed,n_common_genes,n_train_edges,n_test_edges,auroc,auprc
hESC,mDC,strict,minus,mlp,3,4539,390,620,0.438748,0.569930
hESC,mDC,strict,minus,mlp,4,4539,390,620,0.376348,0.527576
hESC,mDC,strict,baseline,lr,0,4539,390,620,0.645061,0.720963
hESC,mDC,strict,baseline,lr,1,4539,390,620,0.579624,0.663462
hESC,mDC,strict,baseline,lr,2,4539,390,620,0.661899,0.746997
hESC,mDC,strict,baseline,lr,3,4539,390,620,0.638574,0.703771
hESC,mDC,strict,baseline,lr,4,4539,390,620,0.680816,0.749093
hESC,mDC,strict,baseline,mlp,0,4539,390,620,0.461834,0.568715
hESC,mDC,strict,baseline,mlp,1,4539,390,620,0.558161,0.629223
hESC,mDC,strict,baseline,mlp,2,4539,390,620,0.472457,0.573235
hESC,mDC,strict,baseline,mlp,3,4539,390,620,0.551728,0.621532
hESC,mDC,strict,baseline,mlp,4,4539,390,620,0.559227,0.627471
hESC,mDC,strict,scGPT_human,lr,0,4539,390,620,0.719118,0.762536
hESC,mDC,strict,scGPT_human,lr,1,4539,390,620,0.754961,0.787416
hESC,mDC,strict,scGPT_human,lr,2,4539,390,620,0.660419,0.711128
hESC,mDC,strict,scGPT_human,lr,3,4539,390,620,0.734922,0.781086
hESC,mDC,strict,scGPT_human,lr,4,4539,390,620,0.694378,0.742574
hESC,mDC,strict,scGPT_human,mlp,0,4539,390,620,0.568936,0.638059
hESC,mDC,strict,scGPT_human,mlp,1,4539,390,620,0.662596,0.732534
hESC,mDC,strict,scGPT_human,mlp,2,4539,390,620,0.684441,0.746488
hESC,mDC,strict,scGPT_human,mlp,3,4539,390,620,0.506895,0.619240
hESC,mDC,strict,scGPT_human,mlp,4,4539,390,620,0.551162,0.667225
hESC,mDC,coverage_matched,minus,lr,0,4819,525,525,0.409183,0.533556
hESC,mDC,coverage_matched,minus,lr,1,4819,525,525,0.476167,0.580220
hESC,mDC,coverage_matched,minus,lr,2,4819,525,525,0.555106,0.648236
hESC,mDC,coverage_matched,minus,lr,3,4819,525,525,0.475051,0.584949
hESC,mDC,coverage_matched,minus,lr,4,4819,525,525,0.464847,0.575952
hESC,mDC,coverage_matched,minus,mlp,0,4819,525,525,0.415190,0.538513
hESC,mDC,coverage_matched,minus,mlp,1,4819,525,525,0.450931,0.557675
hESC,mDC,coverage_matched,minus,mlp,2,4819,525,525,0.468515,0.563975
hESC,mDC,coverage_matched,minus,mlp,3,4819,525,525,0.497132,0.595212
hESC,mDC,coverage_matched,minus,mlp,4,4819,525,525,0.477692,0.586297
hESC,mDC,coverage_matched,baseline,lr,0,4819,314,540,0.548531,0.598145
hESC,mDC,coverage_matched,baseline,lr,1,4819,314,540,0.519733,0.590898
hESC,mDC,coverage_matched,baseline,lr,2,4819,314,540,0.508521,0.558722
hESC,mDC,coverage_matched,baseline,lr,3,4819,314,540,0.600131,0.642140
hESC,mDC,coverage_matched,baseline,lr,4,4819,314,540,0.462988,0.543220
hESC,mDC,coverage_matched,baseline,mlp,0,4819,314,540,0.598677,0.692527
hESC,mDC,coverage_matched,baseline,mlp,1,4819,314,540,0.688960,0.712735
hESC,mDC,coverage_matched,baseline,mlp,2,4819,314,540,0.442913,0.528247
hESC,mDC,coverage_matched,baseline,mlp,3,4819,314,540,0.680991,0.723006
hESC,mDC,coverage_matched,baseline,mlp,4,4819,314,540,0.683382,0.709212
hESC,mDC,coverage_matched,scGPT_human,lr,0,4819,573,593,0.655980,0.645997
hESC,mDC,coverage_matched,scGPT_human,lr,1,4819,573,593,0.618422,0.623218
