train_dataset,test_dataset,protocol,embedding,clf,mean_auroc,std_auroc,mean_auprc,std_auprc,n
hESC,mHSC-GM,strict,minus,lr,0.6398626,0.010456850244696074,0.5694852,0.01503929832671723,5
hESC,mHSC-GM,strict,minus,mlp,0.6543602,0.03627570245991107,0.6060966,0.03789182606103857,5
hESC,mHSC-GM,strict,scGPT_human,lr,0.6898066,0.012762558749717873,0.6390192,0.015476925526731716,5
hESC,mHSC-GM,strict,scGPT_human,mlp,0.6525878,0.025267242749457252,0.6032486,0.03283842425330424,5
hESC,mHSC-L,coverage_matched,baseline,lr,0.5756676000000001,0.014316916687611201,0.5774878,0.014510835419092845,5
hESC,mHSC-L,coverage_matched,baseline,mlp,0.5992472,0.03162846905178939,0.6050136,0.036120293833799284,5
hESC,mHSC-L,coverage_matched,minus,lr,0.5786824,0.021730153065268543,0.5729116000000001,0.023501078210158795,5
hESC,mHSC-L,coverage_matched,minus,mlp,0.5326488,0.04275594086627028,0.5423314,0.03603011383051684,5
hESC,mHSC-L,coverage_matched,scGPT_human,lr,0.688335,0.011105360705533147,0.6402706,0.00977295313812564,5
hESC,mHSC-L,coverage_matched,scGPT_human,mlp,0.617583,0.025091486093892473,0.5626256000000001,0.03166417090403599,5
hESC,mHSC-L,native,baseline,lr,0.6140082,0.0047473289921807806,0.5910572000000001,0.005316361327073252,5
hESC,mHSC-L,native,baseline,mlp,0.6632694,0.005647476094681576,0.6303375999999999,0.00523829623446404,5
hESC,mHSC-L,native,minus,lr,0.6512867999999999,0.011450304020417986,0.6112214,0.011880848632989119,5
hESC,mHSC-L,native,minus,mlp,0.6750166,0.00833633306916175,0.6263326,0.010650240384141566,5
hESC,mHSC-L,native,scGPT_human,lr,0.6612216,0.0061980739782613115,0.6183936,0.006195779905710016,5
hESC,mHSC-L,native,scGPT_human,mlp,0.6936412,0.007180678363497423,0.6586712,0.011732239537275053,5
hESC,mHSC-L,strict,baseline,lr,0.6145446,0.00897206630827033,0.582542,0.006953670340187243,5
hESC,mHSC-L,strict,baseline,mlp,0.635897,0.009794133223517057,0.6304626,0.007563768573931907,5
hESC,mHSC-L,strict,minus,lr,0.6054492,0.006516462089201482,0.573383,0.006159287880916112,5
hESC,mHSC-L,strict,minus,mlp,0.5900518,0.02709414097106606,0.5718838,0.029889735036630886,5
hESC,mHSC-L,strict,scGPT_human,lr,0.587441,0.009485485944325687,0.5598844,0.008128682121967856,5
hESC,mHSC-L,strict,scGPT_human,mlp,0.588998,0.01990231593558899,0.5635026,0.019890991967219752,5
hHep,hESC,coverage_matched,baseline,lr,0.7058954,0.014677219009062992,0.6551174,0.01755487021427385,5
hHep,hESC,coverage_matched,baseline,mlp,0.7468688,0.006696481476118625,0.6725844,0.01578372216684012,5
hHep,hESC,coverage_matched,minus,lr,0.6874666,0.013564119088241617,0.6930648,0.01252876518097453,5
hHep,hESC,coverage_matched,minus,mlp,0.7316984,0.011954336194034363,0.7285856,0.014012114038930745,5
hHep,hESC,coverage_matched,scGPT_human,lr,0.6170892,0.01863101850570708,0.5968102,0.01849806195686457,5
hHep,hESC,coverage_matched,scGPT_human,mlp,0.6732714,0.011325269985302793,0.6262822,0.009301721548186651,5
hHep,hESC,native,baseline,lr,0.6557306,0.018279875695419837,0.6395822,0.02211552385452356,5
hHep,hESC,native,baseline,mlp,0.7385536,0.013512456913529815,0.69202,0.010189902256646018,5
hHep,hESC,native,minus,lr,0.7195658,0.01901989831097949,0.700864,0.02606217551164904,5
hHep,hESC,native,minus,mlp,0.7552016,0.010213683735068368,0.7192598,0.010368279633574702,5
hHep,hESC,native,scGPT_human,lr,0.6644014,0.017891406413135875,0.646675,0.018005615190823106,5
hHep,hESC,native,scGPT_human,mlp,0.7399352,0.009134948393942884,0.6898382,0.010520568376280823,5
hHep,hESC,strict,baseline,lr,0.6825962,0.009483560711041004,0.5973178,0.007557468978434521,5
hHep,hESC,strict,baseline,mlp,0.7513874,0.007024402909856461,0.6359234,0.005851370594997397,5
hHep,hESC,strict,minus,lr,0.7178192,0.01258783310025997,0.6380272,0.015938203366753716,5
hHep,hESC,strict,minus,mlp,0.7371876,0.006117078864948549,0.6425544,0.012910951701559415,5
hHep,hESC,strict,scGPT_human,lr,0.6645346,0.010235440480995409,0.5932782,0.016782202589648347,5
hHep,hESC,strict,scGPT_human,mlp,0.7182454,0.014902649396667711,0.6051512,0.008944365319015102,5
hHep,mDC,coverage_matched,baseline,lr,0.4675164,0.07550193386821294,0.5554935999999999,0.0407963442999492,5
hHep,mDC,coverage_matched,baseline,mlp,0.5925524,0.0640031312252768,0.6299068,0.05078839884619321,5
