train_dataset,test_dataset,side,compare_protocol,metric,delta_abs,delta_pct
hESC,mHSC-E,train,strict,mean_test_node_freq,0.07271903730522727,38.879925989971554
hESC,mHSC-E,train,strict,tf_proxy_fraction,0.008617333455393783,48.56284369862239
hESC,mHSC-E,train,strict,pos_edge_ratio,0.0006482874368259799,9.869851887554383
hESC,mHSC-E,train,strict,hub_fraction,0.0,0.0
hESC,mHSC-E,train,coverage_matched,n_genes,-11131.0,-79.64367487120778
hESC,mHSC-E,train,coverage_matched,mean_degree,0.351240137499082,37.5990514835108
hESC,mHSC-E,train,coverage_matched,mean_train_node_freq,0.2785211001938549,37.27840352719131
hESC,mHSC-E,train,coverage_matched,mean_test_node_freq,0.07271903730522727,38.879925989971554
hESC,mHSC-E,train,coverage_matched,tf_proxy_fraction,0.008617333455393783,48.56284369862239
hESC,mHSC-E,train,coverage_matched,pos_edge_ratio,0.0006482874368259799,9.869851887554383
hESC,mHSC-E,train,coverage_matched,hub_fraction,0.0,0.0
hESC,mHSC-E,train,topology_matched,n_genes,-11131.0,-79.64367487120778
hESC,mHSC-E,train,topology_matched,mean_degree,0.351240137499082,37.5990514835108
hESC,mHSC-E,train,topology_matched,mean_train_node_freq,0.2785211001938549,37.27840352719131
hESC,mHSC-E,train,topology_matched,mean_test_node_freq,0.07271903730522727,38.879925989971554
hESC,mHSC-E,train,topology_matched,tf_proxy_fraction,0.008617333455393783,48.56284369862239
hESC,mHSC-E,train,topology_matched,pos_edge_ratio,0.0006482874368259799,9.869851887554383
hESC,mHSC-E,train,topology_matched,hub_fraction,0.0,0.0
hESC,mHSC-E,test,strict,n_genes,-1917.0,-40.25619487610248
hESC,mHSC-E,test,strict,mean_degree,0.2206849922755496,8.04918760122677
hESC,mHSC-E,test,strict,mean_train_node_freq,0.18261928610285416,8.3282229498352
hESC,mHSC-E,test,strict,mean_test_node_freq,0.03806570617269556,6.93454065778027
hESC,mHSC-E,test,strict,tf_proxy_fraction,0.0061275224407638385,11.813466341262105
hESC,mHSC-E,test,strict,pos_edge_ratio,0.0025296991722695943,11.855034723865549
hESC,mHSC-E,test,strict,hub_fraction,0.005488529948205957,10.890158172231985
hESC,mHSC-E,test,coverage_matched,n_genes,-1917.0,-40.25619487610248
hESC,mHSC-E,test,coverage_matched,mean_degree,0.2206849922755496,8.04918760122677
hESC,mHSC-E,test,coverage_matched,mean_train_node_freq,0.18261928610285416,8.3282229498352
hESC,mHSC-E,test,coverage_matched,mean_test_node_freq,0.03806570617269556,6.93454065778027
hESC,mHSC-E,test,coverage_matched,tf_proxy_fraction,0.0061275224407638385,11.813466341262105
hESC,mHSC-E,test,coverage_matched,pos_edge_ratio,0.0025296991722695943,11.855034723865549
hESC,mHSC-E,test,coverage_matched,hub_fraction,0.005488529948205957,10.890158172231985
hESC,mHSC-E,test,topology_matched,n_genes,-1917.0,-40.25619487610248
hESC,mHSC-E,test,topology_matched,mean_degree,0.2206849922755496,8.04918760122677
hESC,mHSC-E,test,topology_matched,mean_train_node_freq,0.18261928610285416,8.3282229498352
hESC,mHSC-E,test,topology_matched,mean_test_node_freq,0.03806570617269556,6.93454065778027
hESC,mHSC-E,test,topology_matched,tf_proxy_fraction,0.0061275224407638385,11.813466341262105
hESC,mHSC-E,test,topology_matched,pos_edge_ratio,0.0025296991722695943,11.855034723865549
hESC,mHSC-E,test,topology_matched,hub_fraction,0.005488529948205957,10.890158172231985
hESC,mHSC-GM,train,strict,n_genes,-11131.0,-79.64367487120778
hESC,mHSC-GM,train,strict,mean_degree,0.351240137499082,37.5990514835108
hESC,mHSC-GM,train,strict,mean_train_node_freq,0.2785211001938549,37.27840352719131
hESC,mHSC-GM,train,strict,mean_test_node_freq,0.07271903730522727,38.879925989971554
hESC,mHSC-GM,train,strict,tf_proxy_fraction,0.008617333455393783,48.56284369862239
hESC,mHSC-GM,train,strict,pos_edge_ratio,0.0006482874368259799,9.869851887554383
hESC,mHSC-GM,train,strict,hub_fraction,0.0,0.0
hESC,mHSC-GM,train,coverage_matched,n_genes,-11131.0,-79.64367487120778
hESC,mHSC-GM,train,coverage_matched,mean_degree,0.351240137499082,37.5990514835108
hESC,mHSC-GM,train,coverage_matched,mean_train_node_freq,0.2785211001938549,37.27840352719131
hESC,mHSC-GM,train,coverage_matched,mean_test_node_freq,0.07271903730522727,38.879925989971554
hESC,mHSC-GM,train,coverage_matched,tf_proxy_fraction,0.008617333455393783,48.56284369862239
hESC,mHSC-GM,train,coverage_matched,pos_edge_ratio,0.0006482874368259799,9.869851887554383
hESC,mHSC-GM,train,coverage_matched,hub_fraction,0.0,0.0
hESC,mHSC-GM,train,topology_matched,n_genes,-11131.0,-79.64367487120778
hESC,mHSC-GM,train,topology_matched,mean_degree,0.351240137499082,37.5990514835108
hESC,mHSC-GM,train,topology_matched,mean_train_node_freq,0.2785211001938549,37.27840352719131
hESC,mHSC-GM,train,topology_matched,mean_test_node_freq,0.07271903730522727,38.879925989971554
hESC,mHSC-GM,train,topology_matched,tf_proxy_fraction,0.008617333455393783,48.56284369862239
hESC,mHSC-GM,train,topology_matched,pos_edge_ratio,0.0006482874368259799,9.869851887554383
hESC,mHSC-GM,train,topology_matched,hub_fraction,0.0,0.0
hESC,mHSC-GM,test,strict,n_genes,-1917.0,-40.25619487610248
hESC,mHSC-GM,test,strict,mean_degree,0.06567620492932846,2.3954510406974734
hESC,mHSC-GM,test,strict,mean_train_node_freq,0.041670252710938716,1.9003423042471763
hESC,mHSC-GM,test,strict,mean_test_node_freq,0.024005952218389748,4.373234294719663
hESC,mHSC-GM,test,strict,tf_proxy_fraction,0.0031785761472819807,6.030430124843344
hESC,mHSC-GM,test,strict,pos_edge_ratio,-0.0003672712530781719,-1.9809917347983441
hESC,mHSC-GM,test,strict,hub_fraction,0.003311069103749738,6.515417798370351
hESC,mHSC-GM,test,coverage_matched,n_genes,-1917.0,-40.25619487610248
hESC,mHSC-GM,test,coverage_matched,mean_degree,0.06567620492932846,2.3954510406974734
hESC,mHSC-GM,test,coverage_matched,mean_train_node_freq,0.041670252710938716,1.9003423042471763
hESC,mHSC-GM,test,coverage_matched,mean_test_node_freq,0.024005952218389748,4.373234294719663
hESC,mHSC-GM,test,coverage_matched,tf_proxy_fraction,0.0031785761472819807,6.030430124843344
hESC,mHSC-GM,test,coverage_matched,pos_edge_ratio,-0.0003672712530781719,-1.9809917347983441
hESC,mHSC-GM,test,coverage_matched,hub_fraction,0.003311069103749738,6.515417798370351
hESC,mHSC-GM,test,topology_matched,n_genes,-1917.0,-40.25619487610248
hESC,mHSC-GM,test,topology_matched,mean_degree,0.06567620492932846,2.3954510406974734
hESC,mHSC-GM,test,topology_matched,mean_train_node_freq,0.041670252710938716,1.9003423042471763
hESC,mHSC-GM,test,topology_matched,mean_test_node_freq,0.024005952218389748,4.373234294719663
hESC,mHSC-GM,test,topology_matched,tf_proxy_fraction,0.0031785761472819807,6.030430124843344
hESC,mHSC-GM,test,topology_matched,pos_edge_ratio,-0.0003672712530781719,-1.9809917347983441
hESC,mHSC-GM,test,topology_matched,hub_fraction,0.003311069103749738,6.515417798370351
hESC,mHSC-L,train,strict,n_genes,-11131.0,-79.64367487120778
hESC,mHSC-L,train,strict,mean_degree,0.351240137499082,37.5990514835108
hESC,mHSC-L,train,strict,mean_train_node_freq,0.2785211001938549,37.27840352719131
hESC,mHSC-L,train,strict,mean_test_node_freq,0.07271903730522727,38.879925989971554
hESC,mHSC-L,train,strict,tf_proxy_fraction,0.008617333455393783,48.56284369862239
hESC,mHSC-L,train,strict,pos_edge_ratio,0.0006482874368259799,9.869851887554383
hESC,mHSC-L,train,strict,hub_fraction,0.0,0.0
hESC,mHSC-L,train,coverage_matched,n_genes,-11131.0,-79.64367487120778
hESC,mHSC-L,train,coverage_matched,mean_degree,0.351240137499082,37.5990514835108
hESC,mHSC-L,train,coverage_matched,mean_train_node_freq,0.2785211001938549,37.27840352719131
hESC,mHSC-L,train,coverage_matched,mean_test_node_freq,0.07271903730522727,38.879925989971554
hESC,mHSC-L,train,coverage_matched,tf_proxy_fraction,0.008617333455393783,48.56284369862239
hESC,mHSC-L,train,coverage_matched,pos_edge_ratio,0.0006482874368259799,9.869851887554383
hESC,mHSC-L,train,coverage_matched,hub_fraction,0.0,0.0
hESC,mHSC-L,train,topology_matched,n_genes,-11131.0,-79.64367487120778
hESC,mHSC-L,train,topology_matched,mean_degree,0.351240137499082,37.5990514835108
hESC,mHSC-L,train,topology_matched,mean_train_node_freq,0.2785211001938549,37.27840352719131
hESC,mHSC-L,train,topology_matched,mean_test_node_freq,0.07271903730522727,38.879925989971554
hESC,mHSC-L,train,topology_matched,tf_proxy_fraction,0.008617333455393783,48.56284369862239
hESC,mHSC-L,train,topology_matched,pos_edge_ratio,0.0006482874368259799,9.869851887554383
hESC,mHSC-L,train,topology_matched,hub_fraction,0.0,0.0
hESC,mHSC-L,test,strict,n_genes,-1917.0,-40.25619487610248
hESC,mHSC-L,test,strict,mean_degree,0.23509624007871333,8.574818437919982
