train_dataset,test_dataset,protocol,embedding,clf,mean_auroc,std_auroc,mean_auprc,std_auprc,n
hESC,mHSC-GM,native,scGPT_human,mlp,0.770118,0.009724740366714174,0.7552828,0.011742415073569806,5
hESC,mHSC-GM,native,v4_bias_rec_best,lr,0.6587868,0.015423164985177314,0.6321326,0.011969055678707466,5
hESC,mHSC-GM,native,v4_bias_rec_best,mlp,0.7035484,0.00545664133327455,0.6693934,0.007406873769681767,5
hESC,mHSC-GM,native,v4_plain_best,lr,0.7420304,0.010990528151094482,0.7257164,0.011625123648374687,5
hESC,mHSC-GM,native,v4_plain_best,mlp,0.7645084,0.01217905616375916,0.7453638,0.013319204591866578,5
hESC,mHSC-GM,native,v4_type_pe_best,lr,0.751458,0.010996193286769734,0.7161098,0.015545869347193136,5
hESC,mHSC-GM,native,v4_type_pe_best,mlp,0.7879172,0.007009080607326484,0.7474122,0.00826437930881685,5
hESC,mHSC-GM,strict,baseline,lr,0.6697364,0.019456997657398237,0.6185568,0.013873469319532164,5
hESC,mHSC-GM,strict,baseline,mlp,0.675555,0.016494374895703087,0.6362402,0.01407056310742397,5
hESC,mHSC-GM,strict,minus,lr,0.6398626,0.010456850244696074,0.5694852,0.01503929832671723,5
hESC,mHSC-GM,strict,minus,mlp,0.6543602,0.03627570245991107,0.6060966,0.03789182606103857,5
hESC,mHSC-GM,strict,scGPT_human,lr,0.6898066,0.012762558749717873,0.6390192,0.015476925526731716,5
hESC,mHSC-GM,strict,scGPT_human,mlp,0.6525878,0.025267242749457252,0.6032486,0.03283842425330424,5
hESC,mHSC-GM,strict,v4_bias_rec_best,lr,0.5941532,0.026644867178501768,0.5546772,0.023088221572048397,5
hESC,mHSC-GM,strict,v4_bias_rec_best,mlp,0.6438554,0.021020015533771627,0.6136372,0.024880465971520712,5
hESC,mHSC-GM,strict,v4_plain_best,lr,0.7008168,0.018419719339881357,0.6506972,0.023273537267892917,5
hESC,mHSC-GM,strict,v4_plain_best,mlp,0.7048876,0.01538311741618063,0.6586792,0.009427790820759655,5
hESC,mHSC-GM,strict,v4_type_pe_best,lr,0.7166522,0.016285310907686083,0.6553294,0.02327474793504755,5
hESC,mHSC-GM,strict,v4_type_pe_best,mlp,0.688223,0.0233302096261478,0.6372432,0.016486933522034966,5
hESC,mHSC-L,coverage_matched,baseline,lr,0.5756676000000001,0.014316916687611201,0.5774878,0.014510835419092845,5
hESC,mHSC-L,coverage_matched,baseline,mlp,0.5992472,0.03162846905178939,0.6050136,0.036120293833799284,5
hESC,mHSC-L,coverage_matched,minus,lr,0.5786824,0.021730153065268543,0.5729116000000001,0.023501078210158795,5
hESC,mHSC-L,coverage_matched,minus,mlp,0.5326488,0.04275594086627028,0.5423314,0.03603011383051684,5
hESC,mHSC-L,coverage_matched,scGPT_human,lr,0.688335,0.011105360705533147,0.6402706,0.00977295313812564,5
hESC,mHSC-L,coverage_matched,scGPT_human,mlp,0.617583,0.025091486093892473,0.5626256000000001,0.03166417090403599,5
hESC,mHSC-L,coverage_matched,v4_bias_rec_best,lr,0.6861732,0.014921502503434422,0.6770122,0.013735889754944898,5
hESC,mHSC-L,coverage_matched,v4_bias_rec_best,mlp,0.6766636,0.03802245958693361,0.6575179999999999,0.03890929159982226,5
hESC,mHSC-L,coverage_matched,v4_plain_best,lr,0.6652448,0.023472069899350582,0.5695626,0.02535261549110859,5
hESC,mHSC-L,coverage_matched,v4_plain_best,mlp,0.663075,0.021079492517610564,0.5626084,0.022459691294405632,5
hESC,mHSC-L,coverage_matched,v4_type_pe_best,lr,0.6816918,0.006991089540264787,0.6471178,0.013051000734043356,5
hESC,mHSC-L,coverage_matched,v4_type_pe_best,mlp,0.5683806,0.037164429938316035,0.5624302,0.03287908261128952,5
hESC,mHSC-L,native,baseline,lr,0.6140082,0.0047473289921807806,0.5910572000000001,0.005316361327073252,5
hESC,mHSC-L,native,baseline,mlp,0.6632694,0.005647476094681576,0.6303375999999999,0.00523829623446404,5
hESC,mHSC-L,native,minus,lr,0.6512867999999999,0.011450304020417986,0.6112214,0.011880848632989119,5
hESC,mHSC-L,native,minus,mlp,0.6750166,0.00833633306916175,0.6263326,0.010650240384141566,5
hESC,mHSC-L,native,scGPT_human,lr,0.6612216,0.0061980739782613115,0.6183936,0.006195779905710016,5
hESC,mHSC-L,native,scGPT_human,mlp,0.6936412,0.007180678363497423,0.6586712,0.011732239537275053,5
hESC,mHSC-L,native,v4_bias_rec_best,lr,0.6415446,0.0034817024341548637,0.603581,0.0028967296732694777,5
hESC,mHSC-L,native,v4_bias_rec_best,mlp,0.6765284,0.0025499416934510414,0.6316822,0.0030060202527594604,5
hESC,mHSC-L,native,v4_plain_best,lr,0.6294336,0.005454732609395271,0.5770578,0.005960348996493414,5
