train_dataset,test_dataset,direction,protocol,side,n_genes,canonical_over_raw_ratio,mean_degree,median_degree,mean_train_node_freq,median_train_node_freq,mean_test_node_freq,median_test_node_freq,tf_proxy_fraction,pos_edge_ratio,hub_fraction
hHep,mDC,hHep->mDC,strict,train,5465,1.0,0.9813357731015554,0.0,0.7846294602012809,0.0,0.19670631290027446,0.0,0.020494053064958828,0.0067328502924697475,1.0
hHep,mDC,hHep->mDC,strict,test,5465,1.0,1.0526989935956084,0.0,0.8428179322964319,0.0,0.20988106129917658,0.0,0.020677035681610247,0.010750660801021,1.0
hHep,mDC,hHep->mDC,coverage_matched,train,5465,1.0,0.9813357731015554,0.0,0.7846294602012809,0.0,0.19670631290027446,0.0,0.020494053064958828,0.0067328502924697475,1.0
hHep,mDC,hHep->mDC,coverage_matched,test,5465,1.0,1.0526989935956084,0.0,0.8428179322964319,0.0,0.20988106129917658,0.0,0.020677035681610247,0.010750660801021,1.0
hHep,mDC,hHep->mDC,topology_matched,train,5465,1.0,0.9813357731015554,0.0,0.7846294602012809,0.0,0.19670631290027446,0.0,0.020494053064958828,0.0067328502924697475,1.0
hHep,mDC,hHep->mDC,topology_matched,test,5465,1.0,1.0526989935956084,0.0,0.8428179322964319,0.0,0.20988106129917658,0.0,0.020677035681610247,0.010750660801021,1.0
hHep,mESC,hHep->mESC,native,train,11515,2670.0,1.1338254450716456,0.0,0.9068171949630917,0.0,0.22700825010855405,0.0,0.021363438992618323,0.008901999560100328,1.0
hHep,mESC,hHep->mESC,native,test,16749,2670.0,0.7795092244313093,0.0,0.6234402053853961,0.0,0.1560690190459132,0.0,0.014806854140545705,0.006134548912084501,1.0
hHep,mESC,hHep->mESC,strict,train,8010,2670.0,1.017478152309613,0.0,0.8086142322097378,0.0,0.20886392009987514,0.0,0.020599250936329586,0.007351245560372066,1.0
hHep,mESC,hHep->mESC,strict,test,8010,2670.0,0.8124843945068664,0.0,0.6473158551810237,0.0,0.1651685393258427,0.0,0.0149812734082397,0.00934529498745547,1.0
hHep,mESC,hHep->mESC,coverage_matched,train,8010,2670.0,1.017478152309613,0.0,0.8086142322097378,0.0,0.20886392009987514,0.0,0.020599250936329586,0.007351245560372066,1.0
hHep,mESC,hHep->mESC,coverage_matched,test,8010,2670.0,0.8124843945068664,0.0,0.6473158551810237,0.0,0.1651685393258427,0.0,0.0149812734082397,0.00934529498745547,1.0
hHep,mESC,hHep->mESC,topology_matched,train,8010,2670.0,1.017478152309613,0.0,0.8086142322097378,0.0,0.20886392009987514,0.0,0.020599250936329586,0.007351245560372066,1.0
hHep,mESC,hHep->mESC,topology_matched,test,8010,2670.0,0.8124843945068664,0.0,0.6473158551810237,0.0,0.1651685393258427,0.0,0.0149812734082397,0.00934529498745547,1.0
hHep,mHSC-E,hHep->mHSC-E,native,train,11515,1.000358037952023,1.1338254450716456,0.0,0.9068171949630917,0.0,0.22700825010855405,0.0,0.021363438992618323,0.008901999560100328,1.0
hHep,mHSC-E,hHep->mHSC-E,native,test,4762,1.000358037952023,2.7417051658966822,0.0,2.1927761444771106,0.0,0.5489290214195716,0.0,0.05186896262074758,0.021338606180351535,0.0503989920201596
hHep,mHSC-E,hHep->mHSC-E,strict,train,2794,1.000358037952023,1.5898353614889047,0.0,1.274874731567645,0.0,0.31496062992125984,0.0,0.031496062992125984,0.012998915216806035,1.0
hHep,mHSC-E,hHep->mHSC-E,strict,test,2794,1.000358037952023,3.002505368647101,0.0,2.40050107372942,0.0,0.6020042949176807,0.0,0.06012884753042233,0.023831630055417812,0.05690765926986399
hHep,mHSC-E,hHep->mHSC-E,coverage_matched,train,2794,1.000358037952023,1.5898353614889047,0.0,1.274874731567645,0.0,0.31496062992125984,0.0,0.031496062992125984,0.012998915216806035,1.0
hHep,mHSC-E,hHep->mHSC-E,coverage_matched,test,2794,1.000358037952023,3.002505368647101,0.0,2.40050107372942,0.0,0.6020042949176807,0.0,0.06012884753042233,0.023831630055417812,0.05690765926986399
hHep,mHSC-E,hHep->mHSC-E,topology_matched,train,2794,1.000358037952023,1.5898353614889047,0.0,1.274874731567645,0.0,0.31496062992125984,0.0,0.031496062992125984,0.012998915216806035,1.0
hHep,mHSC-E,hHep->mHSC-E,topology_matched,test,2794,1.000358037952023,3.002505368647101,0.0,2.40050107372942,0.0,0.6020042949176807,0.0,0.06012884753042233,0.023831630055417812,0.05690765926986399
hHep,mHSC-GM,hHep->mHSC-GM,native,train,11515,1.000358037952023,1.1338254450716456,0.0,0.9068171949630917,0.0,0.22700825010855405,0.0,0.021363438992618323,0.008901999560100328,1.0
hHep,mHSC-GM,hHep->mHSC-GM,native,test,4762,1.000358037952023,2.7417051658966822,0.0,2.1927761444771106,0.0,0.5489290214195716,0.0,0.052708945821083576,0.01853976705842028,0.05081898362032759
hHep,mHSC-GM,hHep->mHSC-GM,strict,train,2794,1.000358037952023,1.5898353614889047,0.0,1.274874731567645,0.0,0.31496062992125984,0.0,0.031496062992125984,0.012998915216806035,1.0
hHep,mHSC-GM,hHep->mHSC-GM,strict,test,2794,1.000358037952023,2.2390837508947747,0.0,1.7913385826771653,0.0,0.4477451682176092,0.0,0.05082319255547602,0.011227001403573524,0.048317823908375086
hHep,mHSC-GM,hHep->mHSC-GM,coverage_matched,train,2794,1.000358037952023,1.5898353614889047,0.0,1.274874731567645,0.0,0.31496062992125984,0.0,0.031496062992125984,0.012998915216806035,1.0
hHep,mHSC-GM,hHep->mHSC-GM,coverage_matched,test,2794,1.000358037952023,2.2390837508947747,0.0,1.7913385826771653,0.0,0.4477451682176092,0.0,0.05082319255547602,0.011227001403573524,0.048317823908375086
hHep,mHSC-GM,hHep->mHSC-GM,topology_matched,train,2794,1.000358037952023,1.5898353614889047,0.0,1.274874731567645,0.0,0.31496062992125984,0.0,0.031496062992125984,0.012998915216806035,1.0
hHep,mHSC-GM,hHep->mHSC-GM,topology_matched,test,2794,1.000358037952023,2.2390837508947747,0.0,1.7913385826771653,0.0,0.4477451682176092,0.0,0.05082319255547602,0.011227001403573524,0.048317823908375086
hHep,mHSC-L,hHep->mHSC-L,native,train,11515,1.000358037952023,1.1338254450716456,0.0,0.9068171949630917,0.0,0.22700825010855405,0.0,0.021363438992618323,0.008901999560100328,1.0
hHep,mHSC-L,hHep->mHSC-L,native,test,4762,1.000358037952023,2.7417051658966822,0.0,2.1927761444771106,0.0,0.5489290214195716,0.0,0.052708945821083576,0.02012916001582694,0.05081898362032759
hHep,mHSC-L,hHep->mHSC-L,strict,train,2794,1.000358037952023,1.5898353614889047,0.0,1.274874731567645,0.0,0.31496062992125984,0.0,0.031496062992125984,0.012998915216806035,1.0
hHep,mHSC-L,hHep->mHSC-L,strict,test,2794,1.000358037952023,2.4377236936292053,0.0,1.9541875447387258,0.0,0.4835361488904796,0.0,0.05261274158911954,0.016577199412174025,0.049749463135289905
hHep,mHSC-L,hHep->mHSC-L,coverage_matched,train,2794,1.000358037952023,1.5898353614889047,0.0,1.274874731567645,0.0,0.31496062992125984,0.0,0.031496062992125984,0.012998915216806035,1.0
hHep,mHSC-L,hHep->mHSC-L,coverage_matched,test,2794,1.000358037952023,2.4377236936292053,0.0,1.9541875447387258,0.0,0.4835361488904796,0.0,0.05261274158911954,0.016577199412174025,0.049749463135289905
hHep,mHSC-L,hHep->mHSC-L,topology_matched,train,2794,1.000358037952023,1.5898353614889047,0.0,1.274874731567645,0.0,0.31496062992125984,0.0,0.031496062992125984,0.012998915216806035,1.0
hHep,mHSC-L,hHep->mHSC-L,topology_matched,test,2794,1.000358037952023,2.4377236936292053,0.0,1.9541875447387258,0.0,0.4835361488904796,0.0,0.05261274158911954,0.016577199412174025,0.049749463135289905
mDC,hESC,mDC->hESC,native,train,7371,1.0,1.7712657712657713,0.0,1.4166327499660833,0.0,0.354633021299688,0.0,0.0328313661646995,0.014727904251028783,1.0
mDC,hESC,mDC->hESC,native,test,13976,1.0,0.9341728677733258,0.0,0.7471379507727532,0.0,0.1870349170005724,0.0,0.017744705208929592,0.006568360338248367,1.0
mDC,hESC,mDC->hESC,strict,train,4819,1.0,1.9533098153143806,0.0,1.5582070969080721,0.0,0.39510271840630834,0.0,0.03506951649719859,0.017760576803637934,1.0
mDC,hESC,mDC->hESC,strict,test,4819,1.0,0.7323096078024487,0.0,0.5872587673791243,0.0,0.14505084042332433,0.0,0.01597841875907865,0.003626071605719402,1.0
