dataset,embedding,clf,coverage,auroc,auprc
hHep_Non-Specific_500,v4_type_pe_best,mlp,487/500,0.7218819077591697,0.05152438272717885
hHep_Non-Specific_1000,minus,lr,962/1000,0.8540119138543617,0.1269818234404886
hHep_Non-Specific_1000,minus,mlp,962/1000,0.8733201082340325,0.17308553340439684
hHep_Non-Specific_1000,baseline,lr,962/1000,0.8334702029726057,0.14401777455190054
hHep_Non-Specific_1000,baseline,mlp,962/1000,0.8586913910686647,0.1527810427097434
hHep_Non-Specific_1000,scGPT_human,lr,962/1000,0.8343184567863685,0.14621775343367388
hHep_Non-Specific_1000,scGPT_human,mlp,962/1000,0.8434205694227593,0.2193647613542953
hHep_Non-Specific_1000,v4_bias_rec_best,lr,962/1000,0.8122807551148692,0.1103139856426087
hHep_Non-Specific_1000,v4_bias_rec_best,mlp,962/1000,0.8445431257646112,0.10369771530457972
hHep_Non-Specific_1000,v4_plain_best,lr,962/1000,0.8259226590785689,0.10965243746420054
hHep_Non-Specific_1000,v4_plain_best,mlp,962/1000,0.8763492642834452,0.14857984323456444
hHep_Non-Specific_1000,v4_type_pe_best,lr,962/1000,0.8366750928798499,0.1396140665268017
hHep_Non-Specific_1000,v4_type_pe_best,mlp,962/1000,0.8720021043002976,0.19399880131941788
hHep_STRING_500,minus,lr,487/500,0.8767746456405815,0.4320185503999169
hHep_STRING_500,minus,mlp,487/500,0.9314155006608632,0.5886953429651892
hHep_STRING_500,baseline,lr,487/500,0.9074478145936832,0.5086418993543653
hHep_STRING_500,baseline,mlp,487/500,0.928618226151953,0.584944526765914
hHep_STRING_500,scGPT_human,lr,487/500,0.8876105236771341,0.5184588653961402
hHep_STRING_500,scGPT_human,mlp,487/500,0.9034513012168998,0.5812789573338298
hHep_STRING_500,v4_bias_rec_best,lr,487/500,0.9120795542591495,0.536581814256353
hHep_STRING_500,v4_bias_rec_best,mlp,487/500,0.8989164121963448,0.5659332113352401
hHep_STRING_500,v4_plain_best,lr,487/500,0.8608170776172462,0.41016364761947166
hHep_STRING_500,v4_plain_best,mlp,487/500,0.9285042842167631,0.543643116466761
hHep_STRING_500,v4_type_pe_best,lr,487/500,0.8970278246205733,0.4404200019704486
hHep_STRING_500,v4_type_pe_best,mlp,487/500,0.908524565881227,0.5875257246075115
hHep_STRING_1000,minus,lr,962/1000,0.880187039324507,0.3887749353234604
hHep_STRING_1000,minus,mlp,962/1000,0.8928978409506081,0.4347909524955726
hHep_STRING_1000,baseline,lr,962/1000,0.8737169227022042,0.40556409701734464
hHep_STRING_1000,baseline,mlp,962/1000,0.8875366438177421,0.43202081757704514
