dataset,embedding,setting,train_dataset,test_dataset,clf,coverage,auroc,auprc
hESC500->mESC500,baseline,transfer,hESC500,mESC500,lr,848/910->937/1120,0.6048730402157212,0.3822945273681678
hESC500->mESC500,baseline,transfer,hESC500,mESC500,mlp,848/910->937/1120,0.5451461342581373,0.3447286804646676
hESC500->mESC500,scGPT_human,transfer,hESC500,mESC500,lr,848/910->937/1120,0.5838518840978385,0.37009946635008595
hESC500->mESC500,scGPT_human,transfer,hESC500,mESC500,mlp,848/910->937/1120,0.48614342021388623,0.3091258341277272
hESC500->mESC500,v4_bias_rec_best,transfer,hESC500,mESC500,lr,848/910->937/1120,0.6000937254382174,0.3619343642435794
hESC500->mESC500,v4_bias_rec_best,transfer,hESC500,mESC500,mlp,848/910->937/1120,0.5412969357992828,0.35367771868723136
hESC500->mESC500,v4_plain_best,transfer,hESC500,mESC500,lr,848/910->937/1120,0.580276173606965,0.3580498145256247
hESC500->mESC500,v4_plain_best,transfer,hESC500,mESC500,mlp,848/910->937/1120,0.5004987687437555,0.3140912708067748
hESC500->mESC500,v4_type_pe_best,transfer,hESC500,mESC500,lr,848/910->937/1120,0.5720465191917632,0.3571843933243215
hESC500->mESC500,v4_type_pe_best,transfer,hESC500,mESC500,mlp,848/910->937/1120,0.5260922909171164,0.3404335382678115
hESC500->mHSC-E500,minus,transfer,hESC500,mHSC-E500,lr,848/910->457/500,0.5554403249503068,0.6906828588880505
hESC500->mHSC-E500,minus,transfer,hESC500,mHSC-E500,mlp,848/910->457/500,0.6206896551724138,0.7330800570352115
hESC500->mHSC-E500,baseline,transfer,hESC500,mHSC-E500,lr,848/910->457/500,0.5423040359519488,0.6576101656440212
hESC500->mHSC-E500,baseline,transfer,hESC500,mHSC-E500,mlp,848/910->457/500,0.6158715754904502,0.7506047368074801
hESC500->mHSC-E500,scGPT_human,transfer,hESC500,mHSC-E500,lr,848/910->457/500,0.5956918157462621,0.7139293978965682
hESC500->mHSC-E500,scGPT_human,transfer,hESC500,mHSC-E500,mlp,848/910->457/500,0.5777374470659407,0.6972631573150794
hESC500->mHSC-E500,v4_bias_rec_best,transfer,hESC500,mHSC-E500,lr,848/910->457/500,0.6047014086941492,0.7189549605760841
hESC500->mHSC-E500,v4_bias_rec_best,transfer,hESC500,mHSC-E500,mlp,848/910->457/500,0.6008123757670037,0.732707949973546
